1.5,0.9776,0.9936,0.9744,0.9776,0.9744,0.9552,0.9776,0.9936,0.9808,0.9936,0.9616,0.9808,0.9648,1,0.9744,0.9808,0.9744,0.9808,0.9936,0.968,0.9872,0.9872,0.9648,0.9808,0.9808
2,0.84,0.9008,0.9008,0.8496,0.8912,0.8688,0.936,0.872,0.8592,0.9008,0.8688,0.8816,0.7472,0.8944,0.8208,0.9072,0.8912,0.7696,0.8752,0.9136,0.8432,0.8336,0.8144,0.8848,0.8944
2.5,0.5904,0.4944,0.5616,0.4816,0.504,0.4784,0.6,0.552,0.4976,0.4944,0.5616,0.4688,0.6576,0.5808,0.5584,0.552,0.5712,0.5936,0.6128,0.4944,0.5104,0.7056,0.4656,0.6,0.5264
3,0.392,0.4176,0.4144,0.4592,0.376,0.376,0.4784,0.4112,0.424,0.3728,0.44,0.4208,0.4016,0.408,0.4496,0.3696,0.4336,0.3664,0.3728,0.4272,0.4016,0.3248,0.4432,0.4432,0.3952
3.5,0.3312,0.3664,0.3248,0.3952,0.3504,0.3056,0.28,0.312,0.2576,0.3056,0.3248,0.3664,0.3312,0.3344,0.3248,0.312,0.3792,0.3152,0.344,0.2832,0.3664,0.3344,0.2768,0.3312,0.3216
4,0.2832,0.2576,0.3056,0.2864,0.2768,0.2512,0.2544,0.2544,0.248,0.2832,0.2512,0.2864,0.2896,0.3088,0.3088,0.264,0.2928,0.2832,0.28,0.2576,0.248,0.3088,0.3216,0.36,0.2576
4.5,0.296,0.2256,0.2576,0.2128,0.2416,0.2384,0.2448,0.2064,0.2416,0.2576,0.2192,0.2256,0.2448,0.2864,0.2416,0.2224,0.2416,0.168,0.2192,0.2,0.2832,0.2416,0.2032,0.232,0.2672
5,0.2416,0.216,0.2192,0.216,0.2384,0.1872,0.2352,0.1872,0.1904,0.1776,0.1872,0.2032,0.2416,0.1552,0.2032,0.1712,0.1904,0.1744,0.2,0.2,0.1744,0.2,0.2384,0.2288,0.2576
5.5,0.1872,0.2288,0.168,0.2064,0.1808,0.2352,0.2384,0.2224,0.2448,0.2192,0.2032,0.2288,0.232,0.1904,0.1616,0.184,0.2544,0.1776,0.1584,0.1776,0.184,0.1808,0.1552,0.2192,0.1808
6,0.184,0.1648,0.2608,0.1904,0.1936,0.2064,0.216,0.1456,0.168,0.2256,0.2128,0.1296,0.1232,0.2064,0.1456,0.1744,0.1776,0.216,0.1264,0.088,0.1872,0.1776,0.168,0.2192,0.2352
6.5,0.1424,0.1136,0.168,0.1776,0.1872,0.152,0.1552,0.1456,0.2032,0.1456,0.1712,0.2128,0.1584,0.12,0.1584,0.184,0.1616,0.168,0.0944,0.2384,0.12,0.1104,0.1904,0.1328,0.1904
7,0.1488,0.1456,0.1456,0.1392,0.1392,0.1488,0.1264,0.1968,0.1584,0.1808,0.12,0.1296,0.1616,0.2128,0.2,0.088,0.1328,0.0912,0.184,0.1008,0.1744,0.1808,0.136,0.2032,0.1584
7.5,0.168,0.0912,0.1616,0.168,0.1072,0.1616,0.072,0.1168,0.168,0.168,0.136,0.1392,0.136,0.1296,0.1616,0.12,0.1008,0.152,0.1904,0.1328,0.1872,0.136,0.1968,0.1232,0.168
8,0.072,0.1296,0.104,0.12,0.0976,0.1168,0.1392,0.0912,0.1168,0.0912,0.1648,0.0912,0.1136,0.1616,0.1296,0.1456,0.1264,0.1264,0.1136,0.1744,0.0912,0.1328,0.1104,0.1584,0.152
8.5,0.0944,0.0912,0.0848,0.1552,0.1744,0.1232,0.1328,0.12,0.1296,0.12,0.1488,0.1456,0.104,0.1552,0.1168,0.12,0.1104,0.1264,0.0912,0.184,0.0464,0.1616,0.152,0.1648,0.0848
9,0.1424,0.1552,0.0656,0.136,0.0688,0.1072,0.12,0.152,0.104,0.1296,0.12,0.104,0.1104,0.1296,0.1232,0.0784,0.12,0.1424,0.1008,0.1168,0.1008,0.088,0.1552,0.1776,0.1392
9.5,0.1296,0.088,0.0912,0.1392,0.12,0.1008,0.0816,0.1264,0.1424,0.1584,0.072,0.1072,0.1104,0.1104,0.0848,0.0496,0.0848,0.104,0.0496,0.1392,0.1296,0.1264,0.072,0.0848,0.0912
10,0.0784,0.1008,0.104,0.0784,0.104,0.0816,0.0688,0.136,0.0816,0.0656,0.1424,0.1168,0.1296,0.1296,0.0432,0.12,0.0816,0.0912,0.0912,0.0688,0.12,0.0912,0.1136,0.0976,0.0464
