0.5,1,1,1,1,0.92,0.92,1,0.9136,1,1,1,1,0.9168,1,0.92,1,0.9168,1,1,1,0.92,0.92,1,1,1
1,0.904,1,1,1,1,0.9936,0.9936,0.904,0.9072,1,1,1,0.9008,1,0.9936,0.8848,0.9936,1,0.9008,1,1,1,1,1,1
1.5,0.9648,0.9552,0.9872,0.9744,0.9872,0.9872,0.984,1,0.9808,0.968,0.9872,0.968,0.9584,0.9936,0.968,0.856,0.9744,0.9808,0.9712,0.984,0.968,0.9712,0.9648,0.8592,0.904
2,0.8592,0.8208,0.8624,0.8272,0.9072,0.8912,0.8496,0.888,0.824,0.888,0.904,0.8432,0.8816,0.872,0.8688,0.8624,0.9008,0.9104,0.8656,0.8752,0.872,0.888,0.872,0.8816,0.856
2.5,0.6512,0.5104,0.5488,0.5456,0.5872,0.5808,0.5456,0.5616,0.5424,0.5552,0.4624,0.5968,0.4496,0.504,0.5552,0.6384,0.6288,0.5072,0.5744,0.5008,0.4528,0.6,0.6192,0.6832,0.5616
3,0.4176,0.408,0.3728,0.4176,0.4432,0.4464,0.3888,0.3984,0.392,0.3856,0.4912,0.3408,0.4208,0.4336,0.4016,0.4528,0.3632,0.3952,0.44,0.3824,0.4688,0.3952,0.4176,0.4496,0.3504
3.5,0.3184,0.3216,0.3248,0.3696,0.3216,0.408,0.3728,0.3088,0.3088,0.2576,0.3568,0.3248,0.2928,0.3408,0.2832,0.2576,0.2832,0.296,0.3696,0.3728,0.3664,0.376,0.3472,0.3376,0.3152
4,0.2992,0.2128,0.2928,0.2736,0.3152,0.2768,0.2704,0.3152,0.3024,0.2864,0.3024,0.28,0.3056,0.2768,0.3696,0.2512,0.2768,0.2832,0.2928,0.3472,0.3024,0.3152,0.2512,0.3024,0.2384
4.5,0.1872,0.2896,0.2352,0.2384,0.2736,0.2192,0.2288,0.2032,0.2032,0.1968,0.2032,0.232,0.2704,0.3312,0.2256,0.264,0.2032,0.2064,0.2736,0.2544,0.2736,0.264,0.2448,0.264,0.232
5,0.1872,0.232,0.2032,0.264,0.2288,0.2768,0.2704,0.2224,0.1872,0.1968,0.152,0.2032,0.216,0.1712,0.1808,0.2096,0.2064,0.168,0.1904,0.2096,0.2032,0.2512,0.2384,0.2192,0.216
5.5,0.2384,0.216,0.2128,0.1808,0.1712,0.1744,0.184,0.1712,0.2064,0.1712,0.1776,0.1936,0.2224,0.1904,0.2288,0.1488,0.2416,0.1744,0.1584,0.1712,0.1936,0.1808,0.1744,0.1456,0.2096
6,0.104,0.1744,0.1424,0.2096,0.1456,0.1648,0.1488,0.1456,0.2,0.2096,0.1872,0.1072,0.1936,0.1648,0.1808,0.1712,0.2384,0.1488,0.2,0.2064,0.152,0.152,0.1328,0.1872,0.2032
6.5,0.1424,0.1296,0.1616,0.1808,0.184,0.2032,0.1456,0.1968,0.1168,0.1872,0.1584,0.1968,0.1392,0.2064,0.1008,0.1392,0.12,0.1328,0.1232,0.1648,0.1328,0.1872,0.1424,0.1872,0.1264
7,0.1616,0.0688,0.1008,0.152,0.1616,0.1712,0.184,0.0848,0.1424,0.104,0.1264,0.1936,0.1424,0.152,0.1072,0.1712,0.1552,0.1488,0.104,0.1296,0.1648,0.2224,0.136,0.1424,0.2032
7.5,0.1648,0.1584,0.0976,0.1936,0.104,0.1872,0.1552,0.1296,0.1136,0.12,0.1808,0.104,0.1424,0.1104,0.1744,0.136,0.1456,0.1104,0.1616,0.1328,0.1072,0.1264,0.0912,0.1072,0.1328
8,0.1456,0.1072,0.1296,0.1104,0.0944,0.1296,0.1296,0.1104,0.136,0.1424,0.104,0.1072,0.1072,0.104,0.1232,0.0816,0.12,0.1456,0.12,0.1456,0.0464,0.0976,0.1776,0.1168,0.1264
